step,elapsed_sols,mean_surface_pressure_pa,mean_co2_ice_pa,atmosphere_plus_surface_reservoir_mass_kg,mean_surface_temperature_k,min_surface_temperature_k,max_surface_temperature_k,min_air_temperature_k,max_air_temperature_k,max_wind_speed_ms,mean_deep_soil_temperature_k,dry_atmospheric_mass_kg_m2_sr,atmospheric_energy_excluding_surface_geopotential_j_m2_sr,dry_atmospheric_aam_kg_m_s_sr,mean_dust_visible_optical_depth,mean_dust_longwave_optical_depth
50320,170.04740645923746,587.2966587223298,82.37591368608753,2.598435822639896e+16,207.29858758937746,143.44359910721204,248.54263517020505,93.7018519701563,237.47349893241153,174.7681887181914,200.00009532325697,1983.5161295218218,277936812.6495116,1067399641952.363,0.2228739376513476,0.07523871175696326
51800,175.0488007668569,582.6245960265682,87.04797637761342,2.5984358226234612e+16,207.26894179259543,143.4007613868613,249.12492386411205,93.97203376735045,237.9458883047443,181.34979599480542,200.00011113870363,1967.7368609400096,275763428.7086844,1060026265090.5461,0.22222967240287175,0.07502121802840664
53280,180.0501950744763,577.90299153713,91.76958086294653,2.5984358226075332e+16,207.2890309357958,143.40015940011062,249.61858272385885,92.75306945857132,238.55267795466006,158.48012758268396,200.00012886750665,1951.790271558082,273492300.1964166,1046063333168.1415,0.221981002664478,0.07493727106653933
54760,185.05158938209573,573.1595202115708,96.513052184219,2.5984358225908996e+16,207.32363269768143,143.28703829122463,250.011729956416,91.15853395033284,238.67726715776274,164.79370523674166,200.00014865329953,1935.7698298538166,271448099.8000684,1040086303978.5575,0.22222883348693842,0.07502093471429899
56240,190.05298368971515,568.3839901497877,101.28858224164166,2.5984358225739804e+16,207.36525131296207,143.28627067792823,250.26238770366967,92.63289791037768,238.84523722836187,173.58381250247513,200.00017064294838,1919.6411140440407,269361185.310547,1030546906556.6627,0.2230098710629857,0.07528460065600759
57720,195.05437799733457,563.591196509459,106.08137587795606,2.598435822558404e+16,207.4725147744279,143.28542727445148,250.4208531018954,91.74579767349915,239.16314379098552,172.31630211423519,200.00019498623635,1903.4540928003935,267134090.73771152,1023688794270.5322,0.22427860831596963,0.07571290627235666
59200,200.05577230495402,558.8045972941263,110.86797508916553,2.598435822542406e+16,207.5882098594389,143.2238208027381,250.50023549526156,92.21511403519526,238.94493145222626,172.28703781404676,200.00022183555222,1887.28799240094,264837954.79607156,1010360263656.6986,0.2258310871925447,0.07623699850645889
60680,205.05716661257344,554.0455997212907,115.62697265787033,2.5984358225263772e+16,207.7219488406646,143.0709123119429,250.49691099459068,92.65835999816002,239.01247192992122,165.78269034912844,200.00025134558476,1871.2151128674338,262808672.34684473,1002835334378.3782,0.22742143240635404,0.07677387388835098
62160,210.05856092019283,549.3433449101976,120.32922746491087,2.5984358225106532e+16,207.86312241569044,143.03577482146724,250.31815580271086,92.52667221385701,238.9722171242105,167.05735193905778,200.00028367302536,1855.3338744432008,260818104.14145377,997908134007.3679,0.22876807575830543,0.07722847941155772
63640,215.05995522781225,544.6693574442379,125.00321492674014,2.5984358224946264e+16,208.0573997870321,143.03441528186565,250.06728485936645,90.16164963118413,238.9467737711569,173.59591359045052,200.000318976281,1839.5481052067764,258513331.90321723,988230253461.7169,0.2296084896721174,0.07751218976550049
65120,220.06134953543167,540.0583461717814,129.61422619498217,2.5984358224782732e+16,208.2360622042463,143.00612577450158,249.71024173932636,90.15667704259539,238.51292046783936,170.24854459375504,200.00035741519864,1823.9750296639636,256370159.5205617,978772207646.4652,0.229711482761363,0.07754695859849675
66600,225.0627438430511,535.5526173813646,134.11995498121502,2.5984358224620388e+16,208.45961231284696,142.71272892345803,249.22890914103485,92.64074732815125,238.12625474945432,153.76629209073687,200.0003991508035,1808.7575316613602,254503237.11656246,973272641068.5381,0.22884066950945914,0.07725298587871532
68080,230.0641381506705,531.1331707762197,138.53940158205393,2.598435822445331e+16,208.6610023691773,142.68191486238956,248.69553195877492,91.68463195907393,237.71029299823337,187.81193480355967,200.0004443450519,1793.8314402309475,252506270.53646755,969303736587.5072,0.22694178728996314,0.07661195325471905
69560,235.06553245828997,526.7883099460599,142.88426240835452,2.598435822430357e+16,208.9529527083031,142.59874171854307,247.99606145336315,93.13172058355431,237.0333500023326,175.92455967938446,200.00049316059977,1779.1572523070822,250262115.17546475,958229239622.6558,0.22405938576944362,0.0756389001425449
71040,240.06692676590936,522.5428301841057,147.12974216649434,2.5984358224155564e+16,209.25308787835888,142.48975120441196,247.2584973116608,92.55354661571361,236.4193819429019,154.24611861883764,200.00054576058864,1764.8187106853493,248534075.64358336,952815411716.7418,0.22040128716654706,0.07440398401436472
72520,245.06832107352878,518.4142579132276,151.2583144333858,2.5984358224000876e+16,209.5339132707394,142.476610579327,246.4228758339474,90.42008684852311,235.76147404281807,182.7280609823407,200.00060230844872,1750.8750085212705,246698455.04796496,947954205256.6633,0.21630293778679768,0.07302044625218718
74000,250.0697153811482,514.3802499229884,155.29232241991545,2.5984358223856932e+16,209.8780629341821,142.4418322796661,245.4618603057017,91.73317149822127,234.9991297371897,178.89069023791504,200.0006629677209,1737.2506846017932,244781550.7048443,942660969079.2683,0.2121835310185422,0.07162979976237338
75480,255.07110968876762,510.4626119915765,159.20996034715586,2.5984358223695084e+16,210.27741296669876,142.43849431572036,244.45852296986288,92.29964331641777,234.12532326975395,180.49602926914085,200.00072790189702,1724.0193850342341,242885466.2081967,935085123635.1489,0.20849071233293698,0.07038316266366519
76960,260.072503996387,506.69041622638366,162.98215610810985,2.59843582235306e+16,210.60485657069262,142.4350351258596,243.78191760929911,91.88608573168797,234.06393333431035,156.08228944956903,200.00079727427988,1711.279296983586,241372425.15029317,929857615648.3484,0.20565656410432248,0.0694263990989617
78440,265.07389830400643,503.122612275325,166.54996005473896,2.5984358223358736e+16,211.02113818732772,142.4321563527604,243.43537397549494,89.09271301752149,233.447120820666,193.18743953440026,200.0008712478625,1699.2295150228097,239880152.54566777,923882201640.0032,0.20400975720008763,0.06887046314790754
79920,270.07529261162585,499.72592481135507,169.94664751471953,2.5984358223203936e+16,211.47682832888842,142.33614570104032,243.12828018589724,94.0127641339243,233.55285783408385,161.2782882573006,200.0009499852274,1687.7576561731676,238295073.44098666,918228393926.8942,0.20376976907455044,0.06878944692707205
81400,275.07668691924533,496.55196766543975,173.12060465672283,2.5984358223052144e+16,211.9231598150441,142.33316396004162,242.86021702784225,94.87034874803106,233.29238708504462,153.40816360206028,200.0010336484659,1677.038039264346,237207835.6511093,916725349027.7571,0.20504551688156103,0.06922011922892238
82880,280.0780812268647,493.6136488440966,176.05892347416813,2.59843582229009e+16,212.39050089428042,142.23676406421427,242.56543586447017,95.60322029608692,232.87908533231814,188.79779253469277,200.0011223991171,1667.114259366652,235979941.1078248,910002756133.8081,0.20775374860014623,0.07013437535803276
84360,285.0794755344841,490.96739043693776,178.7051818770741,2.5984358222735884e+16,212.85778570043755,142.23250670937412,242.38337164687786,95.51240433969537,232.6346924291682,184.18323905316694,200.00121639812738,1658.1768745620095,235112376.6714393,908624710292.5425,0.21154842952742425,0.07141539945966471
85840,290.08086984210354,488.64487773945984,181.02769457045406,2.5984358222576876e+16,213.38970342057792,142.22783486847712,242.0475018292397,96.23839634849485,232.44815749694723,167.27078985239868,200.00131580582945,1650.3328977096826,234173119.82189947,904514284886.9343,0.21619013467395748,0.0729823656120388
87320,295.08226414972296,486.66518694952936,183.00738535586805,2.5984358222401628e+16,213.8491579678482,142.21348030749576,241.8494025570857,96.6576058377018,232.5112122935464,145.0814923271117,200.0014207819409,1643.6467561235286,233621860.54615778,904575679119.2968,0.2212916477379318,0.0747045556030355
88800,300.0836584573424,485.08000640889236,184.59256589237663,2.598435822224144e+16,214.33881825257936,142.16062118577446,241.7063464875183,99.41893643566354,232.61743533160126,153.14436837068558,200.00153148558235,1638.2930202834539,233116084.18470263,902002887227.7722,0.22658257769145423,0.076490689808346
90280,305.0850527649618,483.9319330916917,185.7406392056826,2.598435822209032e+16,214.8430929962318,142.12329011773383,241.64258605894983,97.54012906280002,232.3219945054175,164.33201851201125,200.00164807531473,1634.415555787921,233010889.4765565,903865765359.7521,0.2319363422327576,0.07829803595366852
91760,310.0864470725812,483.2663903590254,186.4061819345505,2.5984358221942936e+16,215.33740259247398,141.98546735655623,241.87136672296435,98.70940871810099,232.32682248155476,152.5741777170978,200.0017707091951,1632.167773980339,232965997.89195007,903970936442.0144,0.2373937422124109,0.08014036778521552
93240,315.08784138020064,483.1663247323062,186.5062475576117,2.5984358221801e+16,215.85419287021745,141.73766005025183,241.9018718711074,98.68182011089371,232.08595130741202,161.46549675265433,200.00189954485054,1631.8298156731353,233281977.14147863,904478885810.2284,0.2432321073000287,0.08211130741255399
94720,320.08923568782006,483.6422769690213,186.03029531648724,2.5984358221629908e+16,216.30386831569723,141.73229975729234,241.90026321332178,98.58336115990255,232.33259716560258,131.9741230345468,200.00203473956935,1633.437280868766,233822435.53681797,907481619349.9384,0.2498727636111589,0.08435308776263614
96200,325.0906299954395,484.84533083945325,184.82724144192684,2.598435822146972e+16,216.7736642366649,141.7255180436853,241.98033527207832,98.47473271717693,232.076877587482,141.9580888463548,200.00217645040897,1637.500434849374,234951882.78150943,912278606005.9629,0.2577417700537064,0.08700953974813222
97680,330.09202430305896,486.71536038845375,182.95721188841244,2.5984358221294572e+16,217.28256821154469,141.72055087872857,241.94497130702692,100.53539739812648,231.8044720682298,147.9411514855173,200.00232483431887,1643.8162102212184,236221571.08225945,914097596374.6028,0.26722206332668025,0.09020993663495369
99160,335.0934186106784,489.1478366888541,180.5247355831281,2.5984358221105064e+16,217.85275409018521,141.71533883036815,242.1278600651602,100.99724750380628,232.07611066182014,145.32067853290607,200.00248004827853,1652.0315744751547,237618519.69391888,920768707729.749,0.27857786966540904,0.09404347696048374
100640,340.09481291829775,491.938339859572,177.7342324080419,2.598435822093557e+16,218.49255777413256,141.70992664238545,242.58633768170273,102.24591148479848,232.86458694558812,135.86225958584268,200.00264224944772,1661.4561267289375,239590814.17787182,926867054423.5757,0.29177294337558246,0.09849792479851854
102120,345.09620722591717,494.7287491539223,174.94382310905013,2.598435822075547e+16,219.3101863534978,141.70313446650903,242.81217280580654,102.16949281703833,233.35025765166068,142.40309386649918,200.00281159532912,1670.8803619278106,241542209.5913299,935242463978.2317,0.3065160687509051,0.10347497050893556
103600,350.09760153353665,497.47748796344007,172.19508429446947,2.5984358220559024e+16,219.99142932772378,141.69871091258085,243.23678284891776,105.07879054586827,234.6551314172642,141.84381133484553,200.00298824394145,1680.1638606222905,243498408.07348344,941369436354.6211,0.3220736568938251,0.10872696597429998
105080,355.09899584115607,500.64246043523724,169.03011181740337,2.5984358220354584e+16,220.62665919636822,141.69416179855685,243.98229953360797,105.98232612579812,235.02279721214708,125.34599816412175,200.0031723540019,1690.8531329926786,245714575.03986692,948506267825.8735,0.3374722499222072,0.11392528708241659
106560,360.1003901487755,504.434892645048,165.23767960224188,2.598435822014697e+16,221.09722175061444,141.69113346416097,244.86377887868133,107.2987387942133,236.2078403042221,133.95224895862538,200.00336408511754,1703.6615669358291,248123570.1635873,956726578681.4878,0.35169811005353646,0.11872771210714038
108040,365.1017844563949,509.03483188603394,160.63774035513302,2.598435821990939e+16,221.50726415590572,141.6891813028636,245.71270818232128,109.5409157828236,236.96054350500845,133.4375645197484,200.00356359798616,1719.1972481691696,250731563.0249728,963448047176.6599,0.3637983706210085,0.1228125684700878
109520,370.1031787640143,514.6122378355348,155.06033439960123,2.5984358219675372e+16,221.8951615134891,141.68792631482003,246.25179833699733,112.62667493335087,237.24500191172447,127.33387619121224,200.00377105460558,1738.0341928332057,253811295.3771981,971210707292.8939,0.372977350643767,0.1259112467757464
111000,375.1045730716337,521.2436995447052,148.428872683425,2.5984358219403544e+16,222.2085820544859,141.6876469667549,247.2877026303785,109.34283894411524,239.0354706207655,139.44269380894553,200.00398661849212,1760.4310702325452,257897741.0504133,988442856804.947,0.3788177270015036,0.12788286529076506
112480,380.1059673792531,528.9612857393711,140.71128648269976,2.5984358219168424e+16,222.58802980228393,141.68745504572038,248.5022890477699,113.08051940419037,239.3522095740678,135.15955358232353,200.00421045490657,1786.4961882112466,261934632.87442124,1000132550298.3337,0.3818861175897427,0.12891870534092773
113960,385.1073616868726,537.6779235471193,131.99464866804172,2.5984358218900316e+16,222.7813588124174,144.23195876816018,249.78222802706821,115.40134592308497,240.78607645816325,135.7834789194109,200.0044427310865,1815.9354697567646,266730964.04877388,1014179768449.8745,0.38340485463945373,0.12943140699253303
115440,390.10875599449196,547.5065362455919,122.1660359627532,2.598435821863584e+16,223.11836984656725,144.23195876816018,250.82268358747785,118.04946953602638,241.67122235311479,144.1962308857224,200.00468361648205,1849.1302981773026,272167268.00727534,1033643998099.3292,0.38498714834644754,0.12996556421769712
116920,395.11015030211144,556.3766887102151,113.29588349138955,2.5984358218374308e+16,224.0091115163475,144.21011000035162,251.58408693156943,121.4698848061245,241.18096593779924,131.15695096424147,200.00493328299285,1879.0880550001907,277233835.3353266,1049463867371.2628,0.3884604918777482,0.13113810993774166
118400,400.1115446097308,564.1884072400032,105.4841649542654,2.598435821808966e+16,224.56646956232242,144.73122651088755,252.42830394603337,121.0147718006749,242.14130525443093,130.32566434400974,200.00519190520322,1905.4710923851267,281584386.6655243,1053871837870.107,0.3955022387677095,0.13351529222444192
119880,405.1129389173502,572.3854774626009,97.28709472291936,2.598435821775021e+16,224.75216902962035,145.2758137424659,253.4570811284449,119.87124083725473,243.04028704591113,136.74608515489683,200.00545966061276,1933.1556037132127,286238774.3564251,1067078270823.7157,0.40733339454863493,0.13750930313014376
121360,410.1143332249697,581.4970213488076,88.17555082818971,2.59843582174195e+16,224.94448461829964,145.35574578437385,254.08428323410186,118.72538596690282,243.2085795867435,164.02749908887188,200.00573672986022,1963.9286278650181,291660549.46932477,1085396013157.3168,0.42449149937635505,0.14330160774688636
122840,415.11572753258906,591.5395583735227,78.13301379586835,2.5984358217124364e+16,225.28798644516223,145.35574578437385,255.09402921495098,116.57176805973184,244.4986271267174,141.7655788751619,200.0060232969406,1997.8459571636006,296964354.7075567,1105174896274.3743,0.4470654080843174,0.1509222017900611
124320,420.11712184020854,602.4472255286383,67.22534663267132,2.5984358216810796e+16,225.32037656710744,145.35574578437385,256.1431403735823,114.07780337720108,245.14422883884947,185.16568109666608,200.0063195494153,2034.6851480840728,303257191.68551284,1127461566449.4739,0.474078935501005,0.16004154056683945
125800,425.1185161478279,612.8509604109153,56.82161174385336,2.598435821655699e+16,226.4549741503226,145.35574578437385,257.07696354781615,112.9677788643105,246.37389602775445,165.4818927684381,200.00662567861502,2069.822374968964,309318818.06558406,1147394990457.212,0.5038180409329848,0.1700809914948907
127280,430.1199104554473,620.4247755376234,49.24779661030427,2.5984358216291556e+16,227.1813278686285,145.3855249785279,259.46688647259174,111.92325285092687,248.58562832647766,174.04167184989586,200.00694187983405,2095.401925342236,313830295.63668215,1154090078197.0322,0.5347493571711104,0.18052291414703875
128760,435.12130476306675,628.0459808950199,41.62659124334039,2.5984358215920324e+16,227.35298802797465,146.06547183378981,260.75212446289754,104.70902694086712,248.52814940575578,181.92811276287867,200.0072683525147,2121.141529898612,318971394.13802433,1158160796600.0317,0.5653382557019526,0.19084924190405395
130240,440.12269907068617,636.2107638049232,33.46180832314807,2.5984358215521092e+16,227.4172369351991,146.16035498435417,262.5153456435987,106.74691799397557,251.17695852016794,192.091540361752,200.0076053004205,2148.7169951346477,323758668.39490604,1176745572531.9321,0.5943528871201345,0.20064412199523185
131720,445.12409337830564,643.8478874218457,25.824684698487395,2.5984358215220844e+16,228.31303323097583,146.23113714727353,263.6229234380479,107.48696597505635,251.61552429590796,180.45177289723003,200.0079529317985,2174.5103614893505,328312228.4799417,1184751910804.433,0.6216040471309907,0.20984368190522495
133200,450.125487685925,648.3512672132531,21.32130489920778,2.5984358214915388e+16,228.81426813655446,146.23113949055048,265.46435383360824,101.23770407457377,254.11809068921988,211.35252067168858,200.0083114595322,2189.7199260611155,331694901.56372,1202055293519.08,0.6474949297776629,0.218584033888478
134680,455.1268819935445,651.5831645467954,18.0894075585111,2.5984358214637784e+16,229.40979873793412,146.24113725679902,266.4257171109291,101.46950286868892,254.3949890410508,190.22017598029288,200.00868110128573,2200.6352282254184,334095332.6864147,1207451756949.5125,0.6722035128979394,0.22692526031163712
136160,460.12827630116385,652.2434451440331,17.429126953515965,2.5984358214336784e+16,230.04789125193835,146.417940313302,267.84148727425895,100.18247897679588,256.5664685839423,201.43486149076887,200.00906207963968,2202.8652378724687,334441062.4477958,1207703713351.401,0.6959868011569376,0.23495412155398163
137640,465.1296706087833,650.9379109981642,18.734661092142908,2.5984358214055788e+16,230.31746263631874,146.7672420089285,268.95048038882953,98.1623624755159,257.869080444657,206.97906594524915,200.00945462221847,2198.4559704306853,334070945.52137834,1205145671096.6602,0.7179141437315513,0.24235644516585675
139120,470.13106491640264,648.6061723062094,21.06639977724037,2.5984358213789708e+16,230.466686795219,148.55998152526737,269.958664572935,95.37041061010707,258.95437755454145,236.84662717636837,200.00985896181095,2190.580834012603,332941583.72570443,1199464630728.8542,0.7359091058932641,0.2484312594363799
140600,475.1324592240221,645.8825516478789,23.7900204293852,2.5984358213549696e+16,230.44764199256892,148.55998152526737,270.9980683597729,97.53918623495603,260.68534380577177,208.53584029352646,200.0102753364851,2181.382168523427,331385045.2970746,1188462578747.389,0.7483820878566761,0.2526419407330115
142080,480.1338535316416,643.0141212163105,26.658450854692767,2.598435821330677e+16,230.19040956231532,148.5599815252605,271.57542087109255,89.23887325838996,261.2387329099863,240.12426063752642,200.01070398969742,2171.6944273402833,330101738.62499994,1181015044716.424,0.7540334738467029,0.25454975930954643
143560,485.13524783926096,640.0698700974958,29.602701966516992,2.5984358213035524e+16,230.09021178255293,148.55998152524418,272.0252050155604,92.03190856254892,261.9340153792285,223.70345803307507,200.01114517039758,2161.750611899145,328651954.6775889,1171244550171.8445,0.7523760136024058,0.25399022689344186
