case,status,temperature_rmse_vs_full_k,u_rmse_vs_full_ms,v_rmse_vs_full_ms,max_relative_co2_drift,max_wind_ms,energy_change_j_m2_sr,aam_change_kg_m_s_sr,wall_seconds,compile_seconds
full,finite,0.0,0.0,0.0,4.284988919245336e-09,236.0459976970617,3369513.798968464,9703581582.796387,6088.233683045022,3.3194757802411914
half_timestep,finite,3.6999994063805897,8.76054250161404,9.14837427722527,8.54180959297679e-09,237.80986632679083,3358529.648804605,8777237611.791992,12194.049033509102,13.576029704883695
dust_longwave_opacity_scale_1.2,finite,3.616286896478703,8.534804687981385,8.867247260847597,4.256465180318969e-09,239.79956930073882,3402788.577038288,7003733395.089966,6097.196972453967,2.9490637755952775
surface_exchange_multiplier_1.2,finite,3.867274190273635,9.120325022509402,9.248094939274813,4.2179643111595055e-09,239.3518398656771,4070096.8297840357,8906045351.20288,6128.027289298829,3.1113347648642957
