time_hours,temperature_k,pressure_pa,ice_mass_kg,solar_flux_wm2,orbital_angle_rad
1.0,210.07033360148776,610.0,4994965580197038.0,713.2462140452498,0.0003810762558939584
2.0,210.13980505559846,610.0,4989924497444724.0,713.2461875021103,0.0007621525117879168
3.0,210.20800978457046,610.0,4984876866801850.0,713.2461432635502,0.0011432287676818751
4.0,210.27461332164816,610.0,4979822835834470.0,713.2460813295772,0.0015243050235758337
5.0,210.33937313669375,610.0,4974762575882294.0,713.2460017002023,0.0019053812794697922
6.0,210.40215455306193,610.0,4969696271744566.0,713.2459043754408,0.0022864575353637507
7.0,210.4629396991162,610.0,4964624110451696.0,713.2457893553101,0.0026675337912577092
8.0,210.52182889146485,610.0,4959546269852591.0,713.2456566398304,0.0030486100471516678
9.0,210.57903434347722,610.0,4954462907762652.0,713.2455062290278,0.0034296863030456263
10.0,210.63486659780241,610.0,4949374152382525.0,713.245338122928,0.003810762558939585
11.0,210.68971456049124,610.0,4944280094615277.0,713.2451523215622,0.004191838814833543
12.0,210.74402043394113,610.0,4939180782785552.0,713.2449488249642,0.004572915070727501
13.0,210.7982511778958,610.0,4934076220107243.0,713.2447276331717,0.0049539913266214595
14.0,210.8528683505418,610.0,4928966365067137.0,713.2444887462244,0.005335067582515418
15.0,210.90829828191397,610.0,4923851134703002.0,713.2442321641662,0.005716143838409376
16.0,210.96490450464842,610.0,4918730410568092.0,713.2439578870438,0.006097220094303334
17.0,211.02296421645724,610.0,4913604047001847.0,713.2436659149073,0.006478296350197292
18.0,211.08265028611953,610.0,4908471881179318.0,713.24335624781,0.00685937260609125
19.0,211.1440199583377,610.0,4903333744298224.0,713.2430288858084,0.007240448861985208
20.0,211.20701098554332,610.0,4898189473189230.0,713.2426838289617,0.007621525117879166
21.0,211.27144544317488,610.0,4893038921606244.0,713.2423210773337,0.008002601373773125
22.0,211.33704099763136,610.0,4887881970470991.0,713.2419406309901,0.008383677629667083
23.0,211.40342892221537,610.0,4882718536409040.0,713.2415424900003,0.008764753885561041
24.0,211.47017772445054,610.0,4877548578019513.0,713.241126654437,0.009145830141455
25.0,211.53682088475335,610.0,4872372099462020.0,713.2406931243761,0.009526906397348957
26.0,211.6028869348113,610.0,4867189151113860.0,713.2402418998967,0.009907982653242916
27.0,211.6679299426863,610.0,4861999827238001.0,713.2397729810812,0.010289058909136874
28.0,211.73155843301922,610.0,4856804260796086.0,713.2392863680147,0.010670135165030832
29.0,211.79346085976474,610.0,4851602615728109.0,713.2387820607868,0.01105121142092479
30.0,211.85342596234,610.0,4846395077188756.0,713.2382600594885,0.011432287676818748
31.0,211.91135666195225,610.0,4841181840367946.0,713.2377203642159,0.011813363932712706
32.0,211.9672765728667,610.0,4835963098619870.0,713.2371629750669,0.012194440188606664
33.0,212.0213286859827,610.0,4830739031673673.0,713.2365878921431,0.012575516444500622
34.0,212.0737662965282,610.0,4825509794696088.0,713.2359951155504,0.01295659270039458
35.0,212.12493675844567,610.0,4820275508921798.0,713.2353846453957,0.013337668956288538
36.0,212.1752591197582,610.0,4815036254465016.0,713.234756481791,0.013718745212182496
37.0,212.22519709353006,610.0,4809792065782885.0,713.2341106248507,0.014099821468076455
38.0,212.27522912121125,610.0,4804542930087967.0,713.2334470746929,0.014480897723970413
39.0,212.32581746993597,610.0,4799288788815182.0,713.2327658314384,0.01486197397986437
40.0,212.37737836213486,610.0,4794029542051008.0,713.2320668952117,0.015243050235758329
41.0,212.43025506299173,610.0,4788765055642308.0,713.2313502661399,0.015624126491652287
42.0,212.48469565569187,610.0,4783495170530820.0,713.2306159443542,0.016005202747546247
43.0,212.54083693041625,610.0,4778219713717484.0,713.2298639299881,0.016386279003440207
44.0,212.5986954210504,610.0,4772938510156717.0,713.2290942231795,0.016767355259334166
45.0,212.6581661685487,610.0,4767651394820551.0,713.2283068240678,0.017148431515228126
46.0,212.71902929976363,610.0,4762358224159597.0,713.2275017327974,0.017529507771122086
47.0,212.78096401479473,610.0,4757058886223040.0,713.2266789495151,0.017910584027016046
48.0,212.84356910418788,610.0,4751753308781456.0,713.2258384743708,0.018291660282910006
49.0,212.90638869814865,610.0,4746441464919779.0,713.2249803075179,0.018672736538803966
50.0,212.96894160936955,610.0,4741123375726291.0,713.224104449113,0.019053812794697925
51.0,213.0307523913013,610.0,4735799109887832.0,713.2232108993159,0.019434889050591885
52.0,213.09138211159245,610.0,4730468780200267.0,713.2222996582891,0.019815965306485845
53.0,213.15045684614543,610.0,4725132537204042.0,713.2213707261998,0.020197041562379805
54.0,213.20769203504904,610.0,4719790560344142.0,713.2204241032168,0.020578117818273765
55.0,213.26291110113348,610.0,4714443047218905.0,713.2194597895128,0.020959194074167724
56.0,213.31605709980153,610.0,4709090201611298.0,713.2184777852639,0.021340270330061684
