time_hours,temperature_k,pressure_pa,ice_mass_kg,solar_flux_wm2,orbital_angle_rad
1.0,206.62703314322863,610.1143498729845,4995563043515301.0,713.2462140452498,0.0003810762558939584
2.0,203.4608316455792,610.228719621258,4991125315837854.0,713.2461875021103,0.0007621525117879168
3.0,200.48018717148372,610.3431092190074,4986686817969258.0,713.2461432635502,0.0011432287676818751
4.0,197.66686850624026,610.4575186404147,4982247550911281.0,713.2460813295772,0.0015243050235758337
5.0,195.0051001759419,610.571947859658,4977807515665859.0,713.2460017002023,0.0019053812794697922
6.0,192.4811490910938,610.686396850911,4973366713235097.0,713.2459043754408,0.0022864575353637507
7.0,190.61480450210098,610.8008655883428,4968925144621268.0,713.2457893553101,0.0026675337912577092
8.0,192.65745048050377,610.9153540461184,4964482810826813.0,713.2456566398304,0.0030486100471516678
9.0,197.9466845023386,611.0298621983985,4960039712854341.0,713.2455062290278,0.0034296863030456263
10.0,205.61111183107042,611.1443900193393,4955595851706628.0,713.245338122928,0.003810762558939585
11.0,214.61731021755259,611.2589374830928,4951151228386617.0,713.2451523215622,0.004191838814833543
12.0,223.84599933242808,611.3735045638069,4946705843897418.0,713.2449488249642,0.004572915070727501
13.0,232.18938752585518,611.4880912356249,4942259699242307.0,713.2447276331717,0.0049539913266214595
14.0,238.65353549595062,611.6026974726858,4937812795424727.0,713.2444887462244,0.005335067582515418
15.0,242.44397403069638,611.7173232491247,4933365133448287.0,713.2442321641662,0.005716143838409376
16.0,243.01592605501682,611.8319685390719,4928916714316761.0,713.2439578870438,0.006097220094303334
17.0,240.08301710369602,611.946633316654,4924467539034088.0,713.2436659149073,0.006478296350197292
18.0,234.4098074993888,612.061317555993,4920017608604374.0,713.24335624781,0.00685937260609125
19.0,229.2374584117565,612.1760212312066,4915566924031888.0,713.2430288858084,0.007240448861985208
20.0,224.49337739562992,612.2907443164084,4911115486321065.0,713.2426838289617,0.007621525117879166
21.0,220.11912599202583,612.4054867857079,4906663296476502.0,713.2423210773337,0.008002601373773125
22.0,216.06702976709445,612.5202486132101,4902210355502963.0,713.2419406309901,0.008383677629667083
23.0,212.2977354371072,612.635029773016,4897756664405374.0,713.2415424900003,0.008764753885561041
24.0,208.7784164702534,612.749830239222,4893302224188824.0,713.241126654437,0.009145830141455
25.0,205.48143241416315,612.8646499859208,4888847035858567.0,713.2406931243761,0.009526906397348957
26.0,202.38331186216172,612.9794889872007,4884391100420018.0,713.2402418998967,0.009907982653242916
27.0,199.46397029124276,613.0943472171458,4879934418878756.0,713.2397729810812,0.010289058909136874
28.0,196.70610102821456,613.209224649836,4875476992240521.0,713.2392863680147,0.010670135165030832
29.0,194.09469564714783,613.3241212593468,4871018821511216.0,713.2387820607868,0.01105121142092479
30.0,191.6166623831605,613.4390370197501,4866559907696905.0,713.2382600594885,0.011432287676818748
31.0,189.26051965117864,613.5539719051131,4862100251803815.0,713.2377203642159,0.011813363932712706
32.0,188.87417503518907,613.6689258894992,4857639854838333.0,713.2371629750669,0.012194440188606664
33.0,192.1921117246517,613.7838989469673,4853178717807007.0,713.2365878921431,0.012575516444500622
34.0,198.48294832945103,613.8988910515724,4848716841716546.0,713.2359951155504,0.01295659270039458
35.0,206.81731551018402,614.0139021773654,4844254227573819.0,713.2353846453957,0.013337668956288538
36.0,216.12504462075145,614.1289322983929,4839790876385855.0,713.234756481791,0.013718745212182496
37.0,225.27948068327225,614.2439813886976,4835326789159843.0,713.2341106248507,0.014099821468076455
38.0,233.19859961088088,614.359049422318,4830861966903132.0,713.2334470746929,0.014480897723970413
39.0,238.9445096150288,614.4741363732883,4826396410623230.0,713.2327658314384,0.01486197397986437
40.0,241.79948478827302,614.5892422156388,4821930121327803.0,713.2320668952117,0.015243050235758329
41.0,241.30302801388618,614.7043669233958,4817463100024678.0,713.2313502661399,0.015624126491652287
42.0,237.2487689356499,614.8195104705813,4812995347721838.0,713.2306159443542,0.016005202747546247
43.0,231.82992292092962,614.9346728312134,4808526865427425.0,713.2298639299881,0.016386279003440207
44.0,226.87450860987354,615.049853979306,4804057654149739.0,713.2290942231795,0.016767355259334166
45.0,222.3173345216323,615.165053888869,4799587714897237.0,713.2283068240678,0.017148431515228126
46.0,218.10556728610604,615.2802725339081,4795117048678534.0,713.2275017327974,0.017529507771122086
47.0,214.19584957190042,615.3955098884253,4790645656502402.0,713.2266789495151,0.017910584027016046
48.0,210.55220312548593,615.5107659264182,4786173539377770.0,713.2258384743708,0.018291660282910006
49.0,207.1444752568379,615.6260406218806,4781700698313722.0,713.2249803075179,0.018672736538803966
50.0,203.94716925645398,615.7413339488022,4777227134319499.0,713.224104449113,0.019053812794697925
51.0,200.93855104748994,615.8566458811687,4772752848404499.0,713.2232108993159,0.019434889050591885
52.0,198.09995787626275,615.9719763929617,4768277841578274.0,713.2222996582891,0.019815965306485845
53.0,195.41525698352189,616.0873254581588,4763802114850531.0,713.2213707261998,0.020197041562379805
54.0,192.87041712413793,616.202693050734,4759325669231134.0,713.2204241032168,0.020578117818273765
55.0,190.45316604801351,616.3180791446566,4754848505730100.0,713.2194597895128,0.020959194074167724
56.0,188.1527142042292,616.4334837138925,4750370625357602.0,713.2184777852639,0.021340270330061684
57.0,189.10728723329137,616.5489067324033,4745892029123966.0,713.2174780906491,0.021721346585955644
58.0,193.54009868712527,616.6643481741469,4741412718039672.0,713.2164607058513,0.022102422841849604
59.0,200.64956023911606,616.779808013077,4736932693115354.0,713.2154256310553,0.022483499097743564
60.0,209.45195821454558,616.8952862231434,4732451955361799.0,713.2143728664502,0.022864575353637524
